PRODUCT_TYPE_NO,CAPTION,STOCK_MESSAGE,ACTIVE,
0,11 oz. Ceramic Mug,In Stock,TRUE,
1,15 oz. Ceramic Large Mug,In Stock,TRUE,
2,Men's Value T-Shirt,In Stock,TRUE,
3,Mouse Pad ,In Stock,TRUE,
4,Men's Crewneck Sweatshirt,In Stock,TRUE,
5,Men's Long Sleeve T-Shirt,In Stock,TRUE,
6,Jr. Jersey T-Shirt,No Longer Available,FALSE,
7,Men's Value T-Shirt,In Stock,TRUE,
8,Fulfillment,In Stock,FALSE,
9,Baseball Cap,No Longer Available,FALSE,
10,Beach Hat,No Longer Available,FALSE,
11,Stein,In Stock,FALSE,
12,Organic T-shirt,No Longer Available,FALSE,
13,Organic Sweatshirt,No Longer Available,FALSE,
14,Organic Long Sleeve T-shirt,No Longer Available,FALSE,
15,Men's Boxer Shorts,In Stock,TRUE,
16,Men's Tank Top,No Longer Available,FALSE,
17,Canvas Tote Bag,In Stock,TRUE,
18,Messenger Bag,No Longer Available,FALSE,
19,Colored Shirt,No Longer Available,FALSE,
20,Print,No Longer Available,FALSE,
21,Framed Print,No Longer Available,FALSE,
22,Stocking,No Longer Available,FALSE,
23,Men's Hooded Sweatshirt,In Stock,TRUE,
24,Round Ornament,No Longer Available,FALSE,
25,Bell Ornament,No Longer Available,FALSE,
26,Teddy Bear,In Stock,FALSE,
27,Chocolate Rose,No Longer Available,FALSE,
28,REMO | T Shirt | *** | SSW_,No Longer Available,FALSE,
29,Free Plush,No Longer Available,FALSE,
30,Large Holiday Gift Basket,No Longer Available,FALSE,
31,Labor,No Longer Available,FALSE,
32,Screen Printing,No Longer Available,FALSE,
33,Valentine Bear,No Longer Available,FALSE,
34,Valentine Mug and Candy,No Longer Available,FALSE,
35,Valentine Chocolates,No Longer Available,FALSE,
36,Mini Basketball Hoop,No Longer Available,FALSE,
37,Stone Coasters,In Stock,TRUE,
38,Men's Baseball Shirt,In Stock,TRUE,
39,Bunny Plush Toy  ,No Longer Available,FALSE,
40,Flying Disc,No Longer Available,FALSE,
41,Visor,No Longer Available,FALSE,
42,Apron,In Stock,TRUE,
43,Insulated Cooler Bag,No Longer Available,FALSE,
44,Frosted Mug,No Longer Available,FALSE,
45,Men's Polo Shirt,In Stock,TRUE,
46,Women's Tank Top,No Longer Available,FALSE,
47,Stainless Steel Travel Mug,No Longer Available,FALSE,
48,Onesie,No Longer Available,FALSE,
49,Wall Clock,In Stock,TRUE,
50,Sticker (Rectangle),In Stock,TRUE,
51,Sticker (Oval),In Stock,TRUE,
52,Chrome License Plate Frame,In Stock,TRUE,
53,Small Poster,In Stock,TRUE,
54,Large Poster,In Stock,TRUE,
55,Huge Poster,No Longer Available,FALSE,
56,Small Print,No Longer Available,FALSE,
57,Large Print,No Longer Available,FALSE,
58,Small Framed Print,No Longer Available,FALSE,
59,Large Framed Print,No Longer Available,FALSE,
60,Unistrap Bag,No Longer Available,FALSE,
61,Briefcase,No Longer Available,FALSE,
62,Metro Bag,No Longer Available,FALSE,
63,Backpack,No Longer Available,FALSE,
64,Retro Lunchbox,No Longer Available,FALSE,
65,Twill Ball Cap,In Stock,TRUE,
66,Fleece Vest,No Longer Available,FALSE,
67,Fleece Pullover,No Longer Available,FALSE,
68,Fleece Jacket,No Longer Available,FALSE,
69,Toddler T-Shirt,In Stock,TRUE,
70,Kids T-Shirt,In Stock,TRUE,
71,Toddler Button-Up Hoodie,No Longer Available,FALSE,
72,Baby Bodysuit,In Stock,TRUE,
73,Baby Bib,In Stock,TRUE,
74,Calendar Print,No Longer Available,FALSE,
75,Wall Calendar,In Stock,TRUE,
76,Picture Frame,No Longer Available,FALSE,
77,Postcards (Package of 8),In Stock,TRUE,
78,Greeting Cards (Pk of 10),In Stock,TRUE,
79,Ski Cap,No Longer Available,FALSE,
80,Women's Thong Panties,In Stock,TRUE,
81,Panel Print,No Longer Available,FALSE,
82,Framed Panel Print,Temporarily Out of Stock,FALSE,
83,Round Ornament,No Longer Available,FALSE,
84,Lace Ornament,No Longer Available,FALSE,
85,Military Bear,No Longer Available,FALSE,
86,Keepsake Box,In Stock,TRUE,
87,Camisole,No Longer Available,FALSE,
88,Panty,No Longer Available,FALSE,
89,Women's Value T-Shirt,In Stock,TRUE,
90,Bumper Sticker,In Stock,TRUE,
91,Night Shirt,No Longer Available,FALSE,
92,Mini Poster,In Stock,TRUE,
93,Audio CD,No Longer Available,FALSE,
94,Data CD,No Longer Available,FALSE,
95,Premium Shop,No Longer Available,FALSE,
96,Jr. Spaghetti Tank,Temporarily Out of Stock,FALSE,
97,Book,No Longer Available,FALSE,
98,Inactive Account Fee,No Longer Available,FALSE,
